1541874132.970:54101407,"18073:""/bin/ls""",write,stdout,1,"(1541874132.0, 970.0, 54101407.0)","(1541874132.0, 970.0, 54101409.0)"
1541874144.346:54101441,"18109:""/usr/sbin/sshd""",write,stdout,1,"(1541874144.0, 346.0, 54101441.0)","(1541874144.0, 350.0, 54101462.0)"
1541874144.374:54101521,"18111:""/bin/ls""",write,stdout,1,"(1541874144.0, 374.0, 54101521.0)","(1541874144.0, 374.0, 54101521.0)"
1541874144.374:54101548,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 374.0, 54101548.0)","(1541874144.0, 374.0, 54101548.0)"
1541874144.378:54101559,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 378.0, 54101559.0)","(1541874144.0, 378.0, 54101559.0)"
1541874144.378:54101561,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 378.0, 54101561.0)","(1541874144.0, 378.0, 54101561.0)"
1541874144.378:54101563,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 378.0, 54101563.0)","(1541874144.0, 378.0, 54101563.0)"
1541874144.378:54101565,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 378.0, 54101565.0)","(1541874144.0, 378.0, 54101565.0)"
1541874144.382:54101567,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 382.0, 54101567.0)","(1541874144.0, 382.0, 54101567.0)"
1541874144.382:54101569,"18109:""/bin/bash""",write,stderr,2,"(1541874144.0, 382.0, 54101569.0)","(1541874144.0, 382.0, 54101569.0)"
1541874144.382:54101571,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 382.0, 54101571.0)","(1541874144.0, 382.0, 54101571.0)"
1541874144.382:54101573,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 382.0, 54101573.0)","(1541874144.0, 382.0, 54101573.0)"
1541874144.382:54101575,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 382.0, 54101575.0)","(1541874144.0, 382.0, 54101575.0)"
1541874144.382:54101577,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 382.0, 54101577.0)","(1541874144.0, 382.0, 54101577.0)"
1541874144.382:54101579,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 382.0, 54101579.0)","(1541874144.0, 382.0, 54101579.0)"
1541874144.382:54101581,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 382.0, 54101581.0)","(1541874144.0, 382.0, 54101581.0)"
1541874144.382:54101583,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 382.0, 54101583.0)","(1541874144.0, 382.0, 54101583.0)"
1541874144.382:54101587,"18109:""/bin/bash""",write,stderr,2,"(1541874144.0, 382.0, 54101587.0)","(1541874144.0, 382.0, 54101587.0)"
1541874144.386:54101623,"18113:""/bin/bash""",write,stdout,1,"(1541874144.0, 386.0, 54101623.0)","(1541874144.0, 386.0, 54101635.0)"
1541874144.390:54101645,"18114:""/bin/sed""",write,stdout,1,"(1541874144.0, 390.0, 54101645.0)","(1541874144.0, 390.0, 54101645.0)"
1541874144.390:54101649,"18115:""/usr/bin/sort""",write,stdout,1,"(1541874144.0, 390.0, 54101649.0)","(1541874144.0, 390.0, 54101649.0)"
1541874144.390:54101653,"18116:""/bin/sed""",write,stdout,1,"(1541874144.0, 390.0, 54101653.0)","(1541874144.0, 390.0, 54101653.0)"
1541874144.394:54101687,"18119:""/usr/bin/basename""",write,stdout,1,"(1541874144.0, 394.0, 54101687.0)","(1541874144.0, 394.0, 54101687.0)"
1541874144.394:54101695,"18121:""/usr/bin/dirname""",write,stdout,1,"(1541874144.0, 394.0, 54101695.0)","(1541874144.0, 394.0, 54101695.0)"
1541874144.394:54101699,"18120:""/bin/dash""",write,stdout,1,"(1541874144.0, 394.0, 54101699.0)","(1541874144.0, 394.0, 54101699.0)"
1541874144.394:54101703,"18118:""/bin/dash""",write,stdout,1,"(1541874144.0, 394.0, 54101703.0)","(1541874144.0, 394.0, 54101705.0)"
1541874144.398:54101716,"18123:""/usr/bin/dircolors""",write,stdout,1,"(1541874144.0, 398.0, 54101716.0)","(1541874144.0, 398.0, 54101716.0)"
1541874144.418:54101750,"18125:""/bin/ls""",write,stdout,1,"(1541874144.0, 418.0, 54101750.0)","(1541874144.0, 418.0, 54101750.0)"
1541874144.422:54101762,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 422.0, 54101762.0)","(1541874144.0, 422.0, 54101762.0)"
1541874144.426:54101773,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 426.0, 54101773.0)","(1541874144.0, 426.0, 54101773.0)"
1541874144.426:54101775,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 426.0, 54101775.0)","(1541874144.0, 426.0, 54101775.0)"
1541874144.426:54101777,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 426.0, 54101777.0)","(1541874144.0, 426.0, 54101777.0)"
1541874144.426:54101779,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 426.0, 54101779.0)","(1541874144.0, 426.0, 54101779.0)"
1541874144.426:54101781,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 426.0, 54101781.0)","(1541874144.0, 426.0, 54101781.0)"
1541874144.426:54101783,"18109:""/bin/bash""",write,stderr,2,"(1541874144.0, 426.0, 54101783.0)","(1541874144.0, 426.0, 54101783.0)"
1541874144.426:54101785,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 426.0, 54101785.0)","(1541874144.0, 426.0, 54101785.0)"
1541874144.426:54101787,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 426.0, 54101787.0)","(1541874144.0, 426.0, 54101787.0)"
1541874144.426:54101789,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 426.0, 54101789.0)","(1541874144.0, 426.0, 54101789.0)"
1541874144.426:54101791,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 426.0, 54101791.0)","(1541874144.0, 426.0, 54101791.0)"
1541874144.426:54101793,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 426.0, 54101793.0)","(1541874144.0, 426.0, 54101793.0)"
1541874144.430:54101795,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 430.0, 54101795.0)","(1541874144.0, 430.0, 54101795.0)"
1541874144.430:54101797,"18109:""/bin/bash""",write,stdout,1,"(1541874144.0, 430.0, 54101797.0)","(1541874144.0, 430.0, 54101797.0)"
1541874144.430:54101801,"18109:""/bin/bash""",write,stderr,2,"(1541874144.0, 430.0, 54101801.0)","(1541874144.0, 430.0, 54101801.0)"
1541874144.434:54101839,"18127:""/bin/bash""",write,stdout,1,"(1541874144.0, 434.0, 54101839.0)","(1541874144.0, 434.0, 54101851.0)"
1541874144.434:54101856,"18128:""/bin/sed""",write,stdout,1,"(1541874144.0, 434.0, 54101856.0)","(1541874144.0, 434.0, 54101856.0)"
1541874144.438:54101866,"18129:""/usr/bin/sort""",write,stdout,1,"(1541874144.0, 438.0, 54101866.0)","(1541874144.0, 438.0, 54101866.0)"
1541874144.438:54101870,"18130:""/bin/sed""",write,stdout,1,"(1541874144.0, 438.0, 54101870.0)","(1541874144.0, 438.0, 54101870.0)"
1541874144.454:54101888,"18109:""/bin/bash""",write,stderr,2,"(1541874144.0, 454.0, 54101888.0)","(1541874144.0, 454.0, 54101888.0)"
1541874145.689:54101894,"18109:""/bin/bash""",write,stderr,2,"(1541874145.0, 689.0, 54101894.0)","(1541874145.0, 689.0, 54101894.0)"
1541874145.837:54101900,"18109:""/bin/bash""",write,stderr,2,"(1541874145.0, 837.0, 54101900.0)","(1541874145.0, 837.0, 54101900.0)"
1541874145.969:54101906,"18109:""/bin/bash""",write,stderr,2,"(1541874145.0, 969.0, 54101906.0)","(1541874145.0, 973.0, 54101930.0)"
1541874145.973:54101926,"18131:""/bin/ls""",write,stdout,1,"(1541874145.0, 973.0, 54101926.0)","(1541874145.0, 973.0, 54101926.0)"
1541874146.573:54101936,"18109:""/bin/bash""",write,stderr,2,"(1541874146.0, 573.0, 54101936.0)","(1541874146.0, 573.0, 54101936.0)"
1541874146.637:54101942,"18109:""/bin/bash""",write,stderr,2,"(1541874146.0, 637.0, 54101942.0)","(1541874146.0, 637.0, 54101942.0)"
1541874146.657:54101948,"18109:""/bin/bash""",write,stderr,2,"(1541874146.0, 657.0, 54101948.0)","(1541874146.0, 657.0, 54101948.0)"
1541874146.825:54101954,"18109:""/bin/bash""",write,stderr,2,"(1541874146.0, 825.0, 54101954.0)","(1541874146.0, 825.0, 54101954.0)"
1541874147.1:54101960,"18109:""/bin/bash""",write,stderr,2,"(1541874147.0, 1.0, 54101960.0)","(1541874147.0, 1.0, 54101960.0)"
1541874147.85:54101969,"18109:""/bin/bash""",write,stdout,1,"(1541874147.0, 85.0, 54101969.0)","(1541874147.0, 85.0, 54101969.0)"
1541874147.85:54101971,"18109:""/bin/bash""",write,stdout,1,"(1541874147.0, 85.0, 54101971.0)","(1541874147.0, 85.0, 54101971.0)"
1541874147.89:54101973,"18132:""/bin/bash""",write,stdout,1,"(1541874147.0, 89.0, 54101973.0)","(1541874147.0, 89.0, 54101973.0)"
1541874147.89:54101978,"18109:""/bin/bash""",write,0x1d00001,/tmp/,"(1541874147.0, 89.0, 54101978.0)","(1541874147.0, 89.0, 54101979.0)"
1541874147.89:54101984,"18109:""/bin/bash""",write,stderr,2,"(1541874147.0, 89.0, 54101984.0)","(1541874147.0, 89.0, 54101984.0)"
1541874147.245:54101990,"18109:""/bin/bash""",write,stderr,2,"(1541874147.0, 245.0, 54101990.0)","(1541874147.0, 245.0, 54101993.0)"
1541874147.477:54101999,"18109:""/bin/bash""",write,stderr,2,"(1541874147.0, 477.0, 54101999.0)","(1541874147.0, 477.0, 54101999.0)"
1541874147.569:54102005,"18109:""/bin/bash""",write,stderr,2,"(1541874147.0, 569.0, 54102005.0)","(1541874147.0, 569.0, 54102005.0)"
1541874147.641:54102011,"18109:""/bin/bash""",write,stderr,2,"(1541874147.0, 641.0, 54102011.0)","(1541874147.0, 645.0, 54102035.0)"
1541874147.645:54102031,"18133:""/bin/ls""",write,stdout,1,"(1541874147.0, 645.0, 54102031.0)","(1541874147.0, 645.0, 54102031.0)"
1541874149.133:54102041,"18109:""/bin/bash""",write,stderr,2,"(1541874149.0, 133.0, 54102041.0)","(1541874149.0, 133.0, 54102041.0)"
1541874149.221:54102047,"18109:""/bin/bash""",write,stderr,2,"(1541874149.0, 221.0, 54102047.0)","(1541874149.0, 221.0, 54102047.0)"
1541874149.297:54102053,"18109:""/bin/bash""",write,stderr,2,"(1541874149.0, 297.0, 54102053.0)","(1541874149.0, 297.0, 54102053.0)"
1541874149.541:54102059,"18109:""/bin/bash""",write,stderr,2,"(1541874149.0, 541.0, 54102059.0)","(1541874149.0, 541.0, 54102059.0)"
1541874149.733:54102065,"18109:""/bin/bash""",write,stderr,2,"(1541874149.0, 733.0, 54102065.0)","(1541874149.0, 733.0, 54102065.0)"
1541874149.853:54102074,"18109:""/bin/bash""",write,stdout,1,"(1541874149.0, 853.0, 54102074.0)","(1541874149.0, 853.0, 54102074.0)"
1541874149.853:54102076,"18109:""/bin/bash""",write,stdout,1,"(1541874149.0, 853.0, 54102076.0)","(1541874149.0, 853.0, 54102076.0)"
1541874149.857:54102078,"18134:""/bin/bash""",write,stdout,1,"(1541874149.0, 857.0, 54102078.0)","(1541874149.0, 857.0, 54102078.0)"
1541874149.857:54102083,"18109:""/bin/bash""",write,0x1d00001,/tmp/,"(1541874149.0, 857.0, 54102083.0)","(1541874149.0, 857.0, 54102084.0)"
1541874149.857:54102089,"18109:""/bin/bash""",write,stderr,2,"(1541874149.0, 857.0, 54102089.0)","(1541874149.0, 857.0, 54102089.0)"
1541874150.673:54102095,"18109:""/bin/bash""",write,stderr,2,"(1541874150.0, 673.0, 54102095.0)","(1541874150.0, 677.0, 54102098.0)"
1541874150.877:54102104,"18109:""/bin/bash""",write,stderr,2,"(1541874150.0, 877.0, 54102104.0)","(1541874150.0, 877.0, 54102104.0)"
1541874150.961:54102110,"18109:""/bin/bash""",write,stderr,2,"(1541874150.0, 961.0, 54102110.0)","(1541874150.0, 961.0, 54102110.0)"
1541874151.61:54102116,"18109:""/bin/bash""",write,stderr,2,"(1541874151.0, 61.0, 54102116.0)","(1541874151.0, 61.0, 54102140.0)"
1541874151.61:54102136,"18135:""/bin/ls""",write,stdout,1,"(1541874151.0, 61.0, 54102136.0)","(1541874151.0, 61.0, 54102136.0)"
1541874152.381:54102146,"18109:""/bin/bash""",write,stderr,2,"(1541874152.0, 381.0, 54102146.0)","(1541874152.0, 381.0, 54102146.0)"
1541874152.521:54102152,"18109:""/bin/bash""",write,stderr,2,"(1541874152.0, 521.0, 54102152.0)","(1541874152.0, 521.0, 54102152.0)"
1541874152.677:54102158,"18109:""/bin/bash""",write,stderr,2,"(1541874152.0, 677.0, 54102158.0)","(1541874152.0, 677.0, 54102158.0)"
1541874153.501:54102164,"18109:""/bin/bash""",write,stderr,2,"(1541874153.0, 501.0, 54102164.0)","(1541874153.0, 501.0, 54102164.0)"
1541874153.913:54102170,"18109:""/bin/bash""",write,stderr,2,"(1541874153.0, 913.0, 54102170.0)","(1541874153.0, 913.0, 54102170.0)"
1541874154.89:54102176,"18109:""/bin/bash""",write,stderr,2,"(1541874154.0, 89.0, 54102176.0)","(1541874154.0, 89.0, 54102176.0)"
1541874154.381:54102185,"18109:""/bin/bash""",write,stdout,1,"(1541874154.0, 381.0, 54102185.0)","(1541874154.0, 381.0, 54102185.0)"
1541874154.381:54102187,"18109:""/bin/bash""",write,stdout,1,"(1541874154.0, 381.0, 54102187.0)","(1541874154.0, 381.0, 54102187.0)"
1541874154.385:54102189,"18136:""/bin/bash""",write,stdout,1,"(1541874154.0, 385.0, 54102189.0)","(1541874154.0, 385.0, 54102189.0)"
